link,breed,mark,number of ratings,number of comments,number of reviews,number of views,breed purpose,comb,broodiness,climate tolerance,egg productivity,egg size,breed size
https://www.backyardchickens.com/reviews/sussex.11412/,Sussex,4.53,100,126,99,72981,dual purpose,single,frequent,any,high,large,large
https://www.backyardchickens.com/reviews/svart-hona.11678/,Svart Hona,4.56,9,17,9,27584,"['eggs', 'ornamental']",single,,,high,large,medium
https://www.backyardchickens.com/reviews/swedish-flower-chicken.11461/,Swedish Flower Chicken,4.18,22,34,21,41438,dual purpose,,,colder better,medium,large,large
https://www.backyardchickens.com/reviews/transylvanian-naked-neck-black.11393/,Transylvanian Naked Neck ,4.88,8,20,8,6734,,,,,,,
https://www.backyardchickens.com/reviews/vorwerk.10892/,Vorwerk,4.56,9,11,7,18006,dual purpose,single,rare,any,medium,medium,small
https://www.backyardchickens.com/reviews/welbar.11722/,Welbar,4.5,2,8,2,15635,eggs,single,,,high,large,large
https://www.backyardchickens.com/reviews/welsummer.10858/,Welsummer,4.21,102,85,97,113223,dual purpose,single,rare,colder better,medium,large,large
https://www.backyardchickens.com/reviews/white-bresse.11542/,White Bresse,4.2,5,9,4,6594,,,,,,,
https://www.backyardchickens.com/reviews/white-faced-black-spanish.10889/,White Faced Black Spanish,4.29,7,,7,13245,eggs,single,rare,warmer better,medium,small,large
https://www.backyardchickens.com/reviews/white-star-hybrid.11411/,White Star Hybrid,4.38,8,22,8,22339,eggs,single,rare,warmer better,high,medium,large
https://www.backyardchickens.com/reviews/whiting-true-blue.11901/,Whiting True Blue,4.5,2,6,1,17384,eggs,pea,poor,colder better,high,"['large', 'medium']",
https://www.backyardchickens.com/reviews/whiting-true-green.11902/,Whiting True Green,4.0,1,,1,10570,eggs,single,poor,colder better,high,"['large', 'medium']",
https://www.backyardchickens.com/reviews/wyandotte.10914/,Wyandotte,4.15,255,329,252,116764,dual purpose,rose,frequent,colder better,medium,large,large
https://www.backyardchickens.com/reviews/yokohama.10879/,Yokohama,3.5,8,8,7,14146,ornamental,walnut,average,warmer better,low,small,large
